sno,state,type,city,address,search_hit,match_source,top_result_title,top_result_link
1381,Puducherry,Dispensary,Thirubuvanai,"Medical officer incharge, ESI dispensary, PHC building, Thirubuvanai, Puducherry",False,,,
1382,Puducherry,Dispensary,Villianur,"Medical officer incharge, ESI dispensary, No- 13, 2nd cross street, vasantha nagar, Villenur, Puducherry,",False,,,
1383,Puducherry,Dispensary,Gandhinagar,"Medical officer incharge, ESI dispensary, Vazhudavoor Road, Gandhinagar, Puducherry",False,,,
1384,Puducherry,Dispensary,Reddiarpalayam,"No 29, 1st main road, Perumal Raja Gardens, Reddiarpalayam, Puducherry",False,,,
1385,Puducherry,Dispensary,Mudaliarpet,"Medical officer incharge, ESI dispensary, Bhuvanankere Street, Mudaliarpet, Puducherry",True,nta.esic.gov.in,ESIC Dispensaries | Employees' State Insurance Corporation,https://nta.esic.gov.in/dispensaries
1386,Puducherry,Dispensary,Raja Rajeswari Nagar,"No.7, II Cross, Raja Rajeswari Nagar, Puducherry-011",False,,,
1387,Puducherry,Dispensary,Sedarapet,"Medical officer incharge, ESI dispensary, 14, South street, Sedarapet, Puducherry",False,,,
1388,Puducherry,Dispensary,Karaikal,"Medical officer incharge, ESI dispensary, 149, Kamarajsalai, Varichigudy, Karaikal",False,,,
1389,Puducherry,Branch Office,Villianur,"Plot no 2, Padmini Nagar, near oorkani temple, villianur",False,,,
1390,Puducherry,Branch Office,Gandhinagar,"Gandhinagar, puducherry, Vazhudavurd",False,,,
1391,Puducherry,Branch Office,Iswaran,"No. 164, Ist floor, Needarajapayor Street, puducherry-605001",False,,,
1392,Puducherry,Branch Office,Mudaliarpet,"80, Bouvancare Street, Mudaliarpet",False,,,
1393,Puducherry,Branch Office,Bharathida,"Branch Office, ESI Corporation, No.-16, Kamarajar Salai, (Near M.G.M Bus Stop) Karaikal- 609602",False,,,
1394,Puducherry,Branch Office,Thiruvandarkoil,"No.74, Ravichandran Nagar, Thiruvandarkoil, Puducherry- 605102",False,,,
1404,Punjab,Hospital,Mohali,"Medical Superintendent, ESI Hospital, Ind. Area, Ph-VII, Mohali",False,,,
